HOG	OG	Gene Tree Parent Clade	Arabidopsis_thaliana	Beta_vulgaris	Betula_pendula	Camellia_sinensis	Cinnamomum_kanehirae	Cucumis_sativus	Eucalyptus_grandis	Ginkgo_biloba	Malania_oleifera	Malus_domestica	Medicago_truncatula	Mimulus_guttatus	Nicotiana_tabacum	Physcomitrella_patens	Picea_abies	Pinus_tabuliformis	Populus_tremula	Prunus_avium	Salix_purpurea	Sequoiadendron_giganteum	Taxus_chinensis	Vitis_vinifera	Welwitschia_mirabilis	Zostera_marina
N21.HOG0009959	OG0002554	n7			Betpen_Bpev01.c0018.g0110.m0001			Cucsa.352970.1.v1.122 gene=Cucsa.352970.v1 seq_id=scaffold03533 type=cds																		
N21.HOG0009960	OG0002554	n25			Betpen_Bpev01.c0015.g0158.m0001			Cucsa.103340.1.v1.122 gene=Cucsa.103340.v1 seq_id=scaffold00927 type=cds																		
N21.HOG0009961	OG0002555	n7			Betpen_Bpev01.c0281.g0090.m0001, Betpen_Bpev01.c0281.g0090.m0002, Betpen_Bpev01.c0281.g0090.m0003			Cucsa.338620.1.v1.122 gene=Cucsa.338620.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0009962	OG0002555	n39			Betpen_Bpev01.c0525.g0006.m0001			Cucsa.125960.1.v1.122 gene=Cucsa.125960.v1 seq_id=scaffold01017 type=cds																		
N21.HOG0009963	OG0002556	n25			Betpen_Bpev01.c0135.g0066.m0001			Cucsa.158040.1.v1.122 gene=Cucsa.158040.v1 seq_id=scaffold01142 type=cds																		
N21.HOG0009964	OG0002556	n38			Betpen_Bpev01.c0357.g0035.m0001			Cucsa.284730.1.v1.122 gene=Cucsa.284730.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0009965	OG0002557	n19			Betpen_Bpev01.c1815.g0001.m0001																					
N21.HOG0009966	OG0002557	n31			Betpen_Bpev01.c0718.g0004.m0001			Cucsa.026590.1.v1.122 gene=Cucsa.026590.v1 seq_id=scaffold00368 type=cds, Cucsa.026600.1.v1.122 gene=Cucsa.026600.v1 seq_id=scaffold00368 type=cds																		
N21.HOG0009967	OG0002557	n52			Betpen_Bpev01.c0428.g0006.m0001																					
N21.HOG0009968	OG0002558	n52						Cucsa.088040.1.v1.122 gene=Cucsa.088040.v1 seq_id=scaffold00888 type=cds																		
N21.HOG0009969	OG0002558	n53			Betpen_Bpev01.c0438.g0026.m0001																					
N21.HOG0009970	OG0002559	n16			Betpen_Bpev01.c0022.g0148.m0001			Cucsa.323040.1.v1.122 gene=Cucsa.323040.v1 seq_id=scaffold03080 type=cds																		
N21.HOG0009971	OG0002559	n43						Cucsa.272210.1.v1.122 gene=Cucsa.272210.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0009972	OG0002560	n3			Betpen_Bpev01.c0996.g0009.m0001			Cucsa.116530.1.v1.122 gene=Cucsa.116530.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0009973	OG0002560	n33			Betpen_Bpev01.c0038.g0042.m0001			Cucsa.286210.1.v1.122 gene=Cucsa.286210.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0009974	OG0002561	n17			Betpen_Bpev01.c1365.g0007.m0001																					
N21.HOG0009975	OG0002561	n37			Betpen_Bpev01.c0745.g0006.m0001			Cucsa.123160.1.v1.122 gene=Cucsa.123160.v1 seq_id=scaffold01000 type=cds																		
N21.HOG0009976	OG0002562	n14						Cucsa.384940.1.v1.122 gene=Cucsa.384940.v1 seq_id=scaffold03904 type=cds																		
N21.HOG0009977	OG0002562	n19			Betpen_Bpev01.c0950.g0015.m0001			Cucsa.213080.1.v1.122 gene=Cucsa.213080.v1 seq_id=scaffold01543 type=cds																		
N21.HOG0009978	OG0002562	n39			Betpen_Bpev01.c2101.g0001.m0001			Cucsa.195780.1.v1.122 gene=Cucsa.195780.v1 seq_id=scaffold01352 type=cds																		
N21.HOG0009979	OG0002563	n30			Betpen_Bpev01.c1331.g0001.m0001																					
N21.HOG0009980	OG0002563	n40			Betpen_Bpev01.c0274.g0036.m0001			Cucsa.274700.1.v1.122 gene=Cucsa.274700.v1 seq_id=scaffold02541 type=cds, Cucsa.034400.1.v1.122 gene=Cucsa.034400.v1 seq_id=scaffold00444 type=cds																		
N21.HOG0009981	OG0002564	n20						Cucsa.073010.1.v1.122 gene=Cucsa.073010.v1 seq_id=scaffold00765 type=cds																		
N21.HOG0009982	OG0002564	n37			Betpen_Bpev01.c0857.g0005.m0001																					
N21.HOG0009983	OG0002565	n10			Betpen_Bpev01.c0833.g0010.m0001			Cucsa.055930.1.v1.122 gene=Cucsa.055930.v1 seq_id=scaffold00602 type=cds																		
N21.HOG0009984	OG0002565	n31			Betpen_Bpev01.c1209.g0004.m0002, Betpen_Bpev01.c1209.g0004.m0001			Cucsa.251770.1.v1.122 gene=Cucsa.251770.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0009985	OG0002566	n1			Betpen_Bpev01.c0223.g0043.m0001			Cucsa.355570.1.v1.122 gene=Cucsa.355570.v1 seq_id=scaffold03577 type=cds																		
N21.HOG0009986	OG0002566	n31			Betpen_Bpev01.c1649.g0001.m0001			Cucsa.042380.1.v1.122 gene=Cucsa.042380.v1 seq_id=scaffold00540 type=cds, Cucsa.281520.1.v1.122 gene=Cucsa.281520.v1 seq_id=scaffold02639 type=cds																		
N21.HOG0009987	OG0002567	n5			Betpen_Bpev01.c0237.g0061.m0001																					
N21.HOG0009988	OG0002567	n22			Betpen_Bpev01.c2103.g0004.m0001			Cucsa.122670.1.v1.122 gene=Cucsa.122670.v1 seq_id=scaffold01000 type=cds																		
N21.HOG0009989	OG0002568	n3			Betpen_Bpev01.c0333.g0011.m0001			Cucsa.341230.1.v1.122 gene=Cucsa.341230.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0009990	OG0002568	n28			Betpen_Bpev01.c0126.g0049.m0001, Betpen_Bpev01.c0126.g0049.m0003, Betpen_Bpev01.c0126.g0049.m0002			Cucsa.196530.1.v1.122 gene=Cucsa.196530.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0009991	OG0002569	n2			Betpen_Bpev01.c2594.g0007.m0001			Cucsa.388320.1.v1.122 gene=Cucsa.388320.v1 seq_id=scaffold03967 type=cds																		
N21.HOG0009992	OG0002569	n33			Betpen_Bpev01.c1782.g0011.m0001			Cucsa.042130.1.v1.122 gene=Cucsa.042130.v1 seq_id=scaffold00540 type=cds																		
N21.HOG0009993	OG0002570	n9			Betpen_Bpev01.c0092.g0008.m0001			Cucsa.059580.1.v1.122 gene=Cucsa.059580.v1 seq_id=scaffold00621 type=cds																		
N21.HOG0009994	OG0002570	n33			Betpen_Bpev01.c0525.g0008.m0001, Betpen_Bpev01.c0525.g0008.m0002			Cucsa.045680.1.v1.122 gene=Cucsa.045680.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0009995	OG0002571	n3			Betpen_Bpev01.c0147.g0026.m0001			Cucsa.272170.1.v1.122 gene=Cucsa.272170.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0009996	OG0002572	n32			Betpen_Bpev01.c0480.g0050.m0001, Betpen_Bpev01.c0480.g0048.m0001, Betpen_Bpev01.c0480.g0049.m0001, Betpen_Bpev01.c0480.g0047.m0001			Cucsa.272440.1.v1.122 gene=Cucsa.272440.v1 seq_id=scaffold02500 type=cds																		
N21.HOG0009997	OG0002573	n23			Betpen_Bpev01.c2849.g0004.m0001																					
N21.HOG0009998	OG0002573	n38			Betpen_Bpev01.c0152.g0004.m0001			Cucsa.165030.1.v1.122 gene=Cucsa.165030.v1 seq_id=scaffold01153 type=cds, Cucsa.136210.1.v1.122 gene=Cucsa.136210.v1 seq_id=scaffold01044 type=cds																		
N21.HOG0009999	OG0002574	n9						Cucsa.042290.1.v1.122 gene=Cucsa.042290.v1 seq_id=scaffold00540 type=cds																		
N21.HOG0010000	OG0002574	n12			Betpen_Bpev01.c1221.g0005.m0001, Betpen_Bpev01.c1221.g0005.m0002																					
N21.HOG0010001	OG0002574	n31			Betpen_Bpev01.c1649.g0012.m0001, Betpen_Bpev01.c1649.g0012.m0002																					
N21.HOG0010002	OG0002575	n5						Cucsa.363220.1.v1.122 gene=Cucsa.363220.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0010003	OG0002575	n13			Betpen_Bpev01.c0027.g0142.m0001																					
N21.HOG0010004	OG0002575	n46			Betpen_Bpev01.c0114.g0046.m0001			Cucsa.256990.1.v1.122 gene=Cucsa.256990.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0010005	OG0002576	n1			Betpen_Bpev01.c0322.g0001.m0001			Cucsa.013910.1.v1.122 gene=Cucsa.013910.v1 seq_id=scaffold00178 type=cds																		
N21.HOG0010006	OG0002576	n35			Betpen_Bpev01.c1378.g0021.m0001			Cucsa.127540.1.v1.122 gene=Cucsa.127540.v1 seq_id=scaffold01019 type=cds																		
N21.HOG0010007	OG0002577	n3			Betpen_Bpev01.c0423.g0006.m0001			Cucsa.017440.1.v1.122 gene=Cucsa.017440.v1 seq_id=scaffold00245 type=cds																		
N21.HOG0010008	OG0002577	n30			Betpen_Bpev01.c1378.g0034.m0001			Cucsa.127490.1.v1.122 gene=Cucsa.127490.v1 seq_id=scaffold01019 type=cds																		
N21.HOG0010009	OG0002578	n12			Betpen_Bpev01.c0000.g0028.m0001			Cucsa.348800.1.v1.122 gene=Cucsa.348800.v1 seq_id=scaffold03487 type=cds																		
N21.HOG0010010	OG0002578	n38			Betpen_Bpev01.c0051.g0115.m0001			Cucsa.117310.2.v1.122 gene=Cucsa.117310.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0010011	OG0002579	n5			Betpen_Bpev01.c2715.g0002.m0001																					
N21.HOG0010012	OG0002579	n14			Betpen_Bpev01.c0588.g0037.m0001																					
N21.HOG0010013	OG0002579	n16			Betpen_Bpev01.c0496.g0011.m0001			Cucsa.126630.1.v1.122 gene=Cucsa.126630.v1 seq_id=scaffold01017 type=cds, Cucsa.126620.1.v1.122 gene=Cucsa.126620.v1 seq_id=scaffold01017 type=cds																		
N21.HOG0010014	OG0002579	n38			Betpen_Bpev01.c2715.g0005.m0001			Cucsa.147720.1.v1.122 gene=Cucsa.147720.v1 seq_id=scaffold01107 type=cds, Cucsa.147710.1.v1.122 gene=Cucsa.147710.v1 seq_id=scaffold01107 type=cds																		
N21.HOG0010015	OG0002579	n51			Betpen_Bpev01.c2715.g0004.m0001, Betpen_Bpev01.c2715.g0003.m0001			Cucsa.147730.1.v1.122 gene=Cucsa.147730.v1 seq_id=scaffold01107 type=cds																		
N21.HOG0010016	OG0002580	n5			Betpen_Bpev01.c1242.g0003.m0001			Cucsa.052730.1.v1.122 gene=Cucsa.052730.v1 seq_id=scaffold00577 type=cds																		
N21.HOG0010017	OG0002580	n22			Betpen_Bpev01.c1242.g0004.m0001			Cucsa.207410.1.v1.122 gene=Cucsa.207410.v1 seq_id=scaffold01443 type=cds, Cucsa.052740.1.v1.122 gene=Cucsa.052740.v1 seq_id=scaffold00577 type=cds																		
N21.HOG0010018	OG0002581	n5			Betpen_Bpev01.c0713.g0003.m0002, Betpen_Bpev01.c0713.g0003.m0001			Cucsa.118630.2.v1.122 gene=Cucsa.118630.2.v1 seq_id=scaffold00998 type=cds																		
N21.HOG0010019	OG0002581	n34			Betpen_Bpev01.c1150.g0011.m0001			Cucsa.395200.1.v1.122 gene=Cucsa.395200.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0010020	OG0002582	n33			Betpen_Bpev01.c0146.g0046.m0001																					
N21.HOG0010021	OG0002582	n43			Betpen_Bpev01.c1518.g0009.m0001			Cucsa.023710.1.v1.122 gene=Cucsa.023710.v1 seq_id=scaffold00328 type=cds																		
N21.HOG0010022	OG0002583	n9			Betpen_Bpev01.c0001.g0064.m0001			Cucsa.349810.1.v1.122 gene=Cucsa.349810.v1 seq_id=scaffold03487 type=cds																		
N21.HOG0010023	OG0002583	n20			Betpen_Bpev01.c0439.g0032.m0001			Cucsa.175770.1.v1.122 gene=Cucsa.175770.v1 seq_id=scaffold01225 type=cds																		
N21.HOG0010024	OG0002584	n6						Cucsa.116540.1.v1.122 gene=Cucsa.116540.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0010025	OG0002584	n18			Betpen_Bpev01.c0996.g0006.m0001, Betpen_Bpev01.c0996.g0006.m0002																					
N21.HOG0010026	OG0002584	n36			Betpen_Bpev01.c0867.g0013.m0002, Betpen_Bpev01.c0867.g0013.m0001			Cucsa.259770.1.v1.122 gene=Cucsa.259770.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0010027	OG0002585	n24						Cucsa.115570.1.v1.122 gene=Cucsa.115570.v1 seq_id=scaffold00988 type=cds, Cucsa.053970.1.v1.122 gene=Cucsa.053970.v1 seq_id=scaffold00582 type=cds, Cucsa.115580.1.v1.122 gene=Cucsa.115580.v1 seq_id=scaffold00988 type=cds																		
N21.HOG0010028	OG0002585	n27			Betpen_Bpev01.c0557.g0040.m0001																					
N21.HOG0010029	OG0002585	n41			Betpen_Bpev01.c0566.g0015.m0001																					
N21.HOG0010030	OG0002586	n2						Cucsa.129620.1.v1.122 gene=Cucsa.129620.v1 seq_id=scaffold01028 type=cds, Cucsa.129610.1.v1.122 gene=Cucsa.129610.v1 seq_id=scaffold01028 type=cds																		
N21.HOG0010031	OG0002586	n4			Betpen_Bpev01.c0080.g0053.m0001																					
N21.HOG0010032	OG0002586	n46			Betpen_Bpev01.c0642.g0005.m0001, Betpen_Bpev01.c0080.g0063.m0002, Betpen_Bpev01.c0080.g0063.m0001, Betpen_Bpev01.c0080.g0064.m0001			Cucsa.238360.1.v1.122 gene=Cucsa.238360.v1 seq_id=scaffold02023 type=cds																		
N21.HOG0010033	OG0002587	n11			Betpen_Bpev01.c0016.g0112.m0001			Cucsa.256580.1.v1.122 gene=Cucsa.256580.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0010034	OG0002587	n21			Betpen_Bpev01.c0645.g0004.m0001			Cucsa.150150.1.v1.122 gene=Cucsa.150150.v1 seq_id=scaffold01110 type=cds																		
N21.HOG0010035	OG0002588	n35			Betpen_Bpev01.c0896.g0006.m0001, Betpen_Bpev01.c0288.g0016.m0001, Betpen_Bpev01.c0043.g0008.m0001																					
N21.HOG0010036	OG0002588	n44						Cucsa.275740.1.v1.122 gene=Cucsa.275740.v1 seq_id=scaffold02581 type=cds, Cucsa.307150.1.v1.122 gene=Cucsa.307150.v1 seq_id=scaffold02977 type=cds, Cucsa.052660.1.v1.122 gene=Cucsa.052660.v1 seq_id=scaffold00577 type=cds																		
N21.HOG0010037	OG0002589	n25			Betpen_Bpev01.c1602.g0015.m0001																					
N21.HOG0010038	OG0002589	n42			Betpen_Bpev01.c1089.g0003.m0001			Cucsa.364400.1.v1.122 gene=Cucsa.364400.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0010039	OG0002590	n30			Betpen_Bpev01.c0083.g0016.m0001																					
N21.HOG0010040	OG0002590	n37			Betpen_Bpev01.c1354.g0008.m0001			Cucsa.041860.1.v1.122 gene=Cucsa.041860.v1 seq_id=scaffold00540 type=cds																		
N21.HOG0010041	OG0002591	n30			Betpen_Bpev01.c0051.g0194.m0001			Cucsa.027750.1.v1.122 gene=Cucsa.027750.v1 seq_id=scaffold00378 type=cds																		
N21.HOG0010042	OG0002591	n43			Betpen_Bpev01.c0120.g0042.m0001			Cucsa.359810.1.v1.122 gene=Cucsa.359810.v1 seq_id=scaffold03588 type=cds																		
N21.HOG0010043	OG0002592	n23			Betpen_Bpev01.c0022.g0142.m0001			Cucsa.044260.1.v1.122 gene=Cucsa.044260.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0010044	OG0002592	n40			Betpen_Bpev01.c0404.g0018.m0001			Cucsa.065590.1.v1.122 gene=Cucsa.065590.v1 seq_id=scaffold00696 type=cds																		
N21.HOG0010045	OG0002593	n15			Betpen_Bpev01.c0988.g0001.m0001			Cucsa.016430.1.v1.122 gene=Cucsa.016430.v1 seq_id=scaffold00227 type=cds																		
N21.HOG0010046	OG0002593	n25			Betpen_Bpev01.c0891.g0007.m0001			Cucsa.254740.1.v1.122 gene=Cucsa.254740.v1 seq_id=scaffold02229 type=cds, Cucsa.386730.1.v1.122 gene=Cucsa.386730.v1 seq_id=scaffold03918 type=cds																		
N21.HOG0010047	OG0002593	n47						Cucsa.310840.1.v1.122 gene=Cucsa.310840.v1 seq_id=scaffold02995 type=cds																		
N21.HOG0010048	OG0002594	n13			Betpen_Bpev01.c0118.g0016.m0001			Cucsa.161960.1.v1.122 gene=Cucsa.161960.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0010049	OG0002594	n42			Betpen_Bpev01.c1699.g0006.m0001			Cucsa.368660.1.v1.122 gene=Cucsa.368660.v1 seq_id=scaffold03639 type=cds																		
N21.HOG0010050	OG0002595	n4			Betpen_Bpev01.c0425.g0016.m0001			Cucsa.247800.1.v1.122 gene=Cucsa.247800.v1 seq_id=scaffold02205 type=cds																		
N21.HOG0010051	OG0002595	n37			Betpen_Bpev01.c0062.g0010.m0001			Cucsa.011250.1.v1.122 gene=Cucsa.011250.v1 seq_id=scaffold00154 type=cds, Cucsa.340070.1.v1.122 gene=Cucsa.340070.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0010052	OG0002596	n16			Betpen_Bpev01.c0135.g0075.m0001			Cucsa.157870.1.v1.122 gene=Cucsa.157870.v1 seq_id=scaffold01142 type=cds																		
N21.HOG0010053	OG0002596	n24			Betpen_Bpev01.c0349.g0063.m0001			Cucsa.113120.1.v1.122 gene=Cucsa.113120.v1 seq_id=scaffold00953 type=cds																		
N21.HOG0010054	OG0002597	n28						Cucsa.197570.1.v1.122 gene=Cucsa.197570.v1 seq_id=scaffold01357 type=cds																		
N21.HOG0010055	OG0002597	n48			Betpen_Bpev01.c1108.g0014.m0001																					
N21.HOG0010056	OG0002598	n24			Betpen_Bpev01.c0050.g0020.m0001			Cucsa.388800.1.v1.122 gene=Cucsa.388800.v1 seq_id=scaffold03967 type=cds																		
N21.HOG0010057	OG0002598	n37			Betpen_Bpev01.c2342.g0002.m0001			Cucsa.133290.1.v1.122 gene=Cucsa.133290.v1 seq_id=scaffold01037 type=cds, Cucsa.289120.1.v1.122 gene=Cucsa.289120.v1 seq_id=scaffold02698 type=cds																		
N21.HOG0010058	OG0002599	n3			Betpen_Bpev01.c0597.g0037.m0001			Cucsa.205470.1.v1.122 gene=Cucsa.205470.v1 seq_id=scaffold01416 type=cds																		
N21.HOG0010059	OG0002599	n29			Betpen_Bpev01.c1641.g0002.m0001			Cucsa.244470.1.v1.122 gene=Cucsa.244470.v1 seq_id=scaffold02135 type=cds, Cucsa.337530.1.v1.122 gene=Cucsa.337530.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0010060	OG0002600	n17			Betpen_Bpev01.c1435.g0010.m0001			Cucsa.135990.1.v1.122 gene=Cucsa.135990.v1 seq_id=scaffold01044 type=cds																		
N21.HOG0010061	OG0002600	n37			Betpen_Bpev01.c0470.g0046.m0001			Cucsa.038060.1.v1.122 gene=Cucsa.038060.v1 seq_id=scaffold00493 type=cds																		
N21.HOG0010062	OG0002601	n16			Betpen_Bpev01.c1702.g0007.m0001			Cucsa.032070.1.v1.122 gene=Cucsa.032070.v1 seq_id=scaffold00429 type=cds																		
N21.HOG0010063	OG0002601	n38			Betpen_Bpev01.c0267.g0030.m0001			Cucsa.348660.1.v1.122 gene=Cucsa.348660.v1 seq_id=scaffold03487 type=cds																		
N21.HOG0010064	OG0002602	n6			Betpen_Bpev01.c0044.g0107.m0001			Cucsa.116720.1.v1.122 gene=Cucsa.116720.v1 seq_id=scaffold00995 type=cds																		
N21.HOG0010065	OG0002602	n44			Betpen_Bpev01.c0051.g0076.m0001			Cucsa.117150.1.v1.122 gene=Cucsa.117150.v1 seq_id=scaffold00995 type=cds, Cucsa.155460.1.v1.122 gene=Cucsa.155460.v1 seq_id=scaffold01136 type=cds																		
N21.HOG0010066	OG0002603	n1			Betpen_Bpev01.c0165.g0001.m0001			Cucsa.254250.1.v1.122 gene=Cucsa.254250.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0010067	OG0002603	n40			Betpen_Bpev01.c0237.g0008.m0001			Cucsa.056040.1.v1.122 gene=Cucsa.056040.v1 seq_id=scaffold00602 type=cds																		
N21.HOG0010068	OG0002604	n31			Betpen_Bpev01.c0503.g0002.m0001																					
N21.HOG0010069	OG0002605	n23						Cucsa.255110.1.v1.122 gene=Cucsa.255110.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0010070	OG0002605	n46			Betpen_Bpev01.c1270.g0001.m0001, Betpen_Bpev01.c0774.g0001.m0001, Betpen_Bpev01.c0774.g0001.m0002, Betpen_Bpev01.c0774.g0003.m0001, Betpen_Bpev01.c0774.g0002.m0001																					
N21.HOG0010071	OG0002606	n4			Betpen_Bpev01.c1302.g0003.m0001			Cucsa.012080.1.v1.122 gene=Cucsa.012080.v1 seq_id=scaffold00154 type=cds, Cucsa.012060.1.v1.122 gene=Cucsa.012060.v1 seq_id=scaffold00154 type=cds																		
N21.HOG0010072	OG0002607	n8			Betpen_Bpev01.c0978.g0012.m0001, Betpen_Bpev01.c0978.g0011.m0001																					
N21.HOG0010073	OG0002607	n17			Betpen_Bpev01.c0129.g0090.m0001																					
N21.HOG0010074	OG0002607	n22						Cucsa.205010.1.v1.122 gene=Cucsa.205010.v1 seq_id=scaffold01416 type=cds																		
N21.HOG0010075	OG0002607	n26			Betpen_Bpev01.c0978.g0010.m0001																					
N21.HOG0010076	OG0002607	n38			Betpen_Bpev01.c0978.g0014.m0001, Betpen_Bpev01.c0978.g0013.m0001																					
N21.HOG0010077	OG0002607	n51			Betpen_Bpev01.c0129.g0091.m0001, Betpen_Bpev01.c0129.g0089.m0001																					
N21.HOG0010078	OG0002615	n21			Betpen_Bpev01.c1335.g0001.m0001			Cucsa.259030.1.v1.122 gene=Cucsa.259030.v1 seq_id=scaffold02229 type=cds																		
N21.HOG0010079	OG0002615	n34			Betpen_Bpev01.c0158.g0001.m0001			Cucsa.107260.1.v1.122 gene=Cucsa.107260.v1 seq_id=scaffold00930 type=cds																		
N21.HOG0010080	OG0002615	n48			Betpen_Bpev01.c1233.g0012.m0001																					
N21.HOG0010081	OG0002616	n7			Betpen_Bpev01.c0129.g0092.m0001			Cucsa.096700.1.v1.122 gene=Cucsa.096700.v1 seq_id=scaffold00919 type=cds																		
N21.HOG0010082	OG0002616	n36			Betpen_Bpev01.c0015.g0027.m0001			Cucsa.367240.1.v1.122 gene=Cucsa.367240.v1 seq_id=scaffold03625 type=cds																		
N21.HOG0010083	OG0002617	n8			Betpen_Bpev01.c0229.g0033.m0001			Cucsa.364990.1.v1.122 gene=Cucsa.364990.v1 seq_id=scaffold03611 type=cds																		
N21.HOG0010084	OG0002617	n39						Cucsa.292570.1.v1.122 gene=Cucsa.292570.v1 seq_id=scaffold02779 type=cds, Cucsa.128000.1.v1.122 gene=Cucsa.128000.v1 seq_id=scaffold01024 type=cds																		
N21.HOG0010085	OG0002617	n44			Betpen_Bpev01.c0029.g0100.m0001			Cucsa.337410.1.v1.122 gene=Cucsa.337410.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0010086	OG0002618	n10			Betpen_Bpev01.c0458.g0018.m0001			Cucsa.139300.1.v1.122 gene=Cucsa.139300.v1 seq_id=scaffold01066 type=cds																		
N21.HOG0010087	OG0002618	n41			Betpen_Bpev01.c0690.g0008.m0001			Cucsa.045930.1.v1.122 gene=Cucsa.045930.v1 seq_id=scaffold00542 type=cds																		
N21.HOG0010088	OG0002619	n28			Betpen_Bpev01.c0038.g0021.m0001																					
N21.HOG0010089	OG0002619	n40			Betpen_Bpev01.c0658.g0011.m0001			Cucsa.010660.1.v1.122 gene=Cucsa.010660.v1 seq_id=scaffold00154 type=cds																		
N21.HOG0010090	OG0002620	n4			Betpen_Bpev01.c0038.g0062.m0001			Cucsa.286340.1.v1.122 gene=Cucsa.286340.v1 seq_id=scaffold02653 type=cds, Cucsa.394460.1.v1.122 gene=Cucsa.394460.v1 seq_id=scaffold04100 type=cds																		
N21.HOG0010091	OG0002621	n17						Cucsa.394450.1.v1.122 gene=Cucsa.394450.v1 seq_id=scaffold04100 type=cds, Cucsa.286320.1.v1.122 gene=Cucsa.286320.v1 seq_id=scaffold02653 type=cds																		
N21.HOG0010092	OG0002621	n21			Betpen_Bpev01.c0038.g0060.m0001																					
N21.HOG0010093	OG0002621	n43			Betpen_Bpev01.c1120.g0009.m0001			Cucsa.196720.1.v1.122 gene=Cucsa.196720.v1 seq_id=scaffold01357 type=cds, Cucsa.098630.1.v1.122 gene=Cucsa.098630.v1 seq_id=scaffold00923 type=cds																		
N21.HOG0010094	OG0002622	n7			Betpen_Bpev01.c0080.g0027.m0002																					
N21.HOG0010095	OG0002622	n33						Cucsa.248340.1.v1.122 gene=Cucsa.248340.v1 seq_id=scaffold02207 type=cds, Cucsa.238100.1.v1.122 gene=Cucsa.238100.v1 seq_id=scaffold02023 type=cds																		
N21.HOG0010096	OG0002623	n2			Betpen_Bpev01.c0652.g0023.m0001, Betpen_Bpev01.c0652.g0023.m0002																					
N21.HOG0010097	OG0002623	n34			Betpen_Bpev01.c0281.g0050.m0001, Betpen_Bpev01.c0101.g0065.m0001			Cucsa.285150.1.v1.122 gene=Cucsa.285150.v1 seq_id=scaffold02653 type=cds, Cucsa.189580.1.v1.122 gene=Cucsa.189580.v1 seq_id=scaffold01305 type=cds																		
N21.HOG0010098	OG0002624	n22			Betpen_Bpev01.c0281.g0027.m0001																					
N21.HOG0010099	OG0002624	n34			Betpen_Bpev01.c1108.g0015.m0002, Betpen_Bpev01.c1108.g0015.m0001			Cucsa.097880.5.v1.122 gene=Cucsa.097880.v1 seq_id=scaffold00923 type=cds																		
N21.HOG0010100	OG0002625	n16						Cucsa.337720.1.v1.122 gene=Cucsa.337720.v1 seq_id=scaffold03356 type=cds, Cucsa.152380.1.v1.122 gene=Cucsa.152380.v1 seq_id=scaffold01120 type=cds, Cucsa.152370.1.v1.122 gene=Cucsa.152370.v1 seq_id=scaffold01120 type=cds, Cucsa.337700.1.v1.122 gene=Cucsa.337700.v1 seq_id=scaffold03356 type=cds, Cucsa.337710.1.v1.122 gene=Cucsa.337710.v1 seq_id=scaffold03356 type=cds, Cucsa.337730.1.v1.122 gene=Cucsa.337730.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0010101	OG0002625	n27			Betpen_Bpev01.c0457.g0038.m0001																					
N21.HOG0010102	OG0002625	n47			Betpen_Bpev01.c0264.g0006.m0001																					
N21.HOG0010103	OG0002626	n19			Betpen_Bpev01.c0044.g0053.m0001			Cucsa.105880.1.v1.122 gene=Cucsa.105880.v1 seq_id=scaffold00929 type=cds, Cucsa.169510.1.v1.122 gene=Cucsa.169510.v1 seq_id=scaffold01163 type=cds																		
N21.HOG0010104	OG0002627	n21						Cucsa.012740.1.v1.122 gene=Cucsa.012740.v1 seq_id=scaffold00164 type=cds																		
N21.HOG0010105	OG0002628	n12						Cucsa.161320.1.v1.122 gene=Cucsa.161320.v1 seq_id=scaffold01144 type=cds																		
N21.HOG0010106	OG0002628	n15			Betpen_Bpev01.c0519.g0007.m0001																					
N21.HOG0010107	OG0002628	n17			Betpen_Bpev01.c3498.g0001.m0001																					
N21.HOG0010108	OG0002628	n39			Betpen_Bpev01.c0214.g0049.m0001			Cucsa.343060.1.v1.122 gene=Cucsa.343060.v1 seq_id=scaffold03356 type=cds																		
N21.HOG0010109	OG0002629	n24			Betpen_Bpev01.c1157.g0011.m0001																					
